name,url,status,size,sha256,error
rustup,https://sh.rustup.rs,ok,29250,6c30b75a75b28a96fd913a037c8581b580080b6ee9b8169a3c0feb1af7fe8caf,
bun,https://bun.sh/install,ok,7594,bab8acfb046aac8c72407bdcce903957665d655d7acaa3e11c7c4616beae68dd,
deno,https://deno.land/install.sh,ok,3002,83f19ea13f6d7884f4dc0e2f92e7e08e7589204138d9b6edfcd53c3f07b3273b,
uv,https://astral.sh/uv/install.sh,ok,71233,c1cb9b1e62951536cd9d6b5fef09f789ad0baea52434c97e640d050d173758f6,
docker,https://get.docker.com,ok,22907,bd47b3d291aa5ac7aca8d182d2a433c7c15c5fc4349bc5b0eebb3c18ae49a201,
ollama,https://ollama.com/install.sh,ok,15902,25f64b810b947145095956533e1bdf56eacea2673c55a7e586be4515fc882c9f,
k3s,https://get.k3s.io,ok,38305,d264d4d43f7c5a27b44de0075513fb22dfb02d0b7cd33ba7a3838cb822f4729c,
homebrew,https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh,ok,33889,8ff338091a5e10bb5fc040b38316648110f42feff057ecf9feaab51fd0a13ef9,
starship,https://starship.rs/install.sh,ok,13782,52c64f14a558034ebeb1907ea9364e802b32474576fd3e68265f73bc33cc8fbb,
nvm,https://raw.githubusercontent.com/nvm-sh/nvm/v0.39.7/install.sh,ok,16555,8e45fa547f428e9196a5613efad3bfa4d4608b74ca870f930090598f5af5f643,
volta,https://get.volta.sh,ok,10460,fbdc4b8cb33fb6d19e5f07b22423265943d34e7e5c3d5a1efcecc9621854f9cb,
tailscale,https://tailscale.com/install.sh,ok,20301,805e85ed6f6f81a7ea2e70d52d47e7d5290863299e5c922b2787d71aa312f22e,
flyctl,https://fly.io/install.sh,ok,5340,a031272948eaca6c064a0756e4f43b0b3ee687716eeed2ab858fe0bdb0f029f5,
nix,https://nixos.org/nix/install,ok,4499,34e0ef63ec1f3e552e15069660afd9a0a23f69009e340c33067595252888286c,
pnpm,https://get.pnpm.io/install.sh,ok,7558,ab8b2166653269b1182ae8ae03801b6c651fae56a0ca9e011d5d5d5aac0f056b,
pyenv,https://pyenv.run,ok,270,1065197a9fff657e0e2941e4ca8c8b6e72833833466b777b9eddd0fff335ec41,
rbenv,https://raw.githubusercontent.com/rbenv/rbenv-installer/main/bin/rbenv-installer,ok,2617,9a1f19c4564cc8954bca75640d320fcc98cf40187d73531156629edd36606f2f,
sdkman,https://get.sdkman.io,ok,18461,b7bda3ce24f631d54d6b6b24f9ca32bc0a0e12dde12b2c3c73b1e28c5c36a364,
ohmyzsh,https://raw.githubusercontent.com/ohmyzsh/ohmyzsh/master/tools/install.sh,ok,19606,95118b50d062198597e2b73d3a57b609fd95ca68cdc86faf4460d955f0172b61,
ohmybash,https://raw.githubusercontent.com/ohmybash/oh-my-bash/master/tools/install.sh,ok,11169,8471ce9b5186fb034053e10e06d28812e0e4dd40f8349c16df1bb894b38c3017,
poetry,https://install.python-poetry.org,ok,29070,75745ca71373a7b22fa150953543f03d826a52f8e4bc4350328a33bddd668026,
pulumi,https://get.pulumi.com,ok,14146,319ffe2866c9976a72d924b14771e25c47ab474f9d612182df932369f5fe4f5b,
zerotier,https://install.zerotier.com,ok,17384,ca7b66cf85bf32a6727eae4690ad009fa1be9cffb5eede2af029efce017c029f,
code-server,https://code-server.dev/install.sh,ok,15872,e86784e9fec81106c74941e55dbbcb85dc963a06ad6c3f1a870d4a22cf432e1d,
zoxide,https://raw.githubusercontent.com/ajeetdsouza/zoxide/main/install.sh,ok,13975,0c25aed6cce9d56ee0596c9a5df8cbe99ffd0f7a7054de0262234dd268b61404,
lazydocker,https://raw.githubusercontent.com/jesseduffield/lazydocker/master/scripts/install_update_linux.sh,ok,884,57a1a5ca34097da604e19d3b5d0689a47037604d1ab9f8c1bcd0a63bab427359,
micro,https://getmic.ro,ok,9728,d041f51b97871dc7de1f01879c12a978b074a5acdb6528e884ce8f4c05d2ad35,
direnv,https://direnv.net/install.sh,ok,2740,b030996d92c98b32853602e2eabed344fc50a9b3ccb555c80d296ed696f8eb58,
charm,https://charm.sh/install.sh,error,0,,"response looks like an HTML page, not a shell script (29562 bytes)"
atuin,https://github.com/atuinsh/atuin/raw/main/install.sh,ok,5704,4fd224487379bfd91dfb6ccf361add8b41137e54d07c19314962d7ea89e9b7f8,
cargo-binstall,https://raw.githubusercontent.com/cargo-bins/cargo-binstall/main/install-from-binstall-release.sh,ok,2297,d3a93702160e0ec03e2a4e996855db1f01adee801fb84a43add24e0877ef8eae,
miniconda,https://repo.anaconda.com/miniconda/Miniconda3-latest-Linux-x86_64.sh,ok,262144,35e86285b852598883aa8f7e94223da1444533ce4d40fc6461935edb301853dd,truncated to 262144 bytes (original 197303002)
gcloud,https://dl.google.com/dl/cloudsdk/channels/rapid/install_google_cloud_sdk.bash,ok,6013,6d550e06d1c425e4723c6cce26ce208f2598cbf0adb6de595eea25b9b621b6c1,
netbird,https://pkgs.netbird.io/install.sh,ok,14924,991b90c45053fcdd7aa1dccd468403aea29ac8f2f57a9398515d5a4e87628828,
rclone,https://rclone.org/install.sh,ok,4734,b0559bafefe496f29b8a3de47d5779d708ed8b6092d2a5cf7631b8788dac31c2,
git-lfs,https://packagecloud.io/install/repositories/github/git-lfs/script.deb.sh,ok,7185,28dc0442e1500713695275ab1e0ab749d29c95973b9954db9744aafda1ec412c,
acme-sh,https://get.acme.sh,ok,1032,8681df828f7765a351a4fc708a46fc3f7f383c0155fe4b19002d20e5c4ee5431,
arkade,https://get.arkade.dev,ok,6095,1b28d3ba65212a213b0574aa71845a6c9b0a643bf7bfd6fdeb1020b5145ad30e,
azure-cli,https://aka.ms/InstallAzureCLIDeb,ok,4663,01fada4dafe903fa6edae138d3e3ca2e6e4295d7c8a35e48632bba4aa9dbe9d9,
buildkite-agent,https://raw.githubusercontent.com/buildkite/agent/main/install.sh,ok,9353,dec3c51f8679a50ef58c3724414d8c1a6280129190bf49227214c5df73c10419,
