name,url
rustup,https://sh.rustup.rs
bun,https://bun.sh/install
deno,https://deno.land/install.sh
uv,https://astral.sh/uv/install.sh
docker,https://get.docker.com
ollama,https://ollama.com/install.sh
k3s,https://get.k3s.io
homebrew,https://raw.githubusercontent.com/Homebrew/install/HEAD/install.sh
starship,https://starship.rs/install.sh
nvm,https://raw.githubusercontent.com/nvm-sh/nvm/v0.39.7/install.sh
volta,https://get.volta.sh
tailscale,https://tailscale.com/install.sh
flyctl,https://fly.io/install.sh
nix,https://nixos.org/nix/install
pnpm,https://get.pnpm.io/install.sh
pyenv,https://pyenv.run
rbenv,https://raw.githubusercontent.com/rbenv/rbenv-installer/main/bin/rbenv-installer
sdkman,https://get.sdkman.io
ohmyzsh,https://raw.githubusercontent.com/ohmyzsh/ohmyzsh/master/tools/install.sh
ohmybash,https://raw.githubusercontent.com/ohmybash/oh-my-bash/master/tools/install.sh
poetry,https://install.python-poetry.org
pulumi,https://get.pulumi.com
zerotier,https://install.zerotier.com
code-server,https://code-server.dev/install.sh
zoxide,https://raw.githubusercontent.com/ajeetdsouza/zoxide/main/install.sh
lazydocker,https://raw.githubusercontent.com/jesseduffield/lazydocker/master/scripts/install_update_linux.sh
micro,https://getmic.ro
direnv,https://direnv.net/install.sh
charm,https://charm.sh/install.sh
atuin,https://github.com/atuinsh/atuin/raw/main/install.sh
cargo-binstall,https://raw.githubusercontent.com/cargo-bins/cargo-binstall/main/install-from-binstall-release.sh
miniconda,https://repo.anaconda.com/miniconda/Miniconda3-latest-Linux-x86_64.sh
gcloud,https://dl.google.com/dl/cloudsdk/channels/rapid/install_google_cloud_sdk.bash
netbird,https://pkgs.netbird.io/install.sh
rclone,https://rclone.org/install.sh
git-lfs,https://packagecloud.io/install/repositories/github/git-lfs/script.deb.sh
acme-sh,https://get.acme.sh
arkade,https://get.arkade.dev
azure-cli,https://aka.ms/InstallAzureCLIDeb
buildkite-agent,https://raw.githubusercontent.com/buildkite/agent/main/install.sh
chezmoi,https://get.chezmoi.io
circleci-cli,https://raw.githubusercontent.com/CircleCI-Public/circleci-cli/master/install.sh
coolify,https://cdn.coollabs.io/coolify/install.sh
crowdsec,https://install.crowdsec.net
dagger,https://dl.dagger.io/dagger/install.sh
datadog-agent,https://install.datadoghq.com/scripts/install_script_agent7.sh
devbox,https://get.jetify.com/devbox
directadmin,https://download.directadmin.com/setup.sh
dokku,https://raw.githubusercontent.com/dokku/dokku/master/bootstrap.sh
easypanel,https://get.easypanel.io
eget,https://zyedidia.github.io/eget.sh
elan,https://raw.githubusercontent.com/leanprover/elan/master/elan-init.sh
faas-cli,https://cli.openfaas.com
falco,https://falco.org/script/install
flux,https://fluxcd.io/install.sh
fnm,https://fnm.vercel.app/install
foundry,https://raw.githubusercontent.com/foundry-rs/foundry/master/foundryup/install
garden,https://get.garden.io/install.sh
ghcup,https://get-ghcup.haskell.org
gitlab-runner,https://packages.gitlab.com/install/repositories/runner/gitlab-runner/script.deb.sh
grype,https://raw.githubusercontent.com/anchore/grype/main/install.sh
gvm,https://raw.githubusercontent.com/moovweb/gvm/master/binscripts/gvm-installer
hasura-cli,https://raw.githubusercontent.com/hasura/graphql-engine/master/cli/get.sh
helm,https://raw.githubusercontent.com/helm/helm/main/scripts/get-helm-3
heroku-cli,https://cli-assets.heroku.com/install.sh
ibmcloud-cli,https://clis.cloud.ibm.com/install/linux
dfx,https://internetcomputer.org/install.sh
istioctl,https://istio.io/downloadIstio
juliaup,https://install.julialang.org
just,https://just.systems/install.sh
k0s,https://get.k0s.sh
k3sup,https://get.k3sup.dev
kitty,https://sw.kovidgoyal.net/kitty/installer.sh
kubeone,https://get.kubeone.io
kubescape,https://raw.githubusercontent.com/kubescape/kubescape/master/install.sh
linkerd,https://run.linkerd.io/install
lunarvim,https://raw.githubusercontent.com/LunarVim/LunarVim/release-1.4/neovim-0.9/utils/installer/install.sh
